Index,District,State,Zone,
209,CharkiDadri,Haryana,OrangeZone,
210,Mahendragarh,Haryana,GreenZone,
211,Rewari,Haryana,GreenZone,
212,Una,Himachal Pradesh,OrangeZone,
213,Chamba,Himachal Pradesh,OrangeZone,
214,Hamirpur,Himachal Pradesh,OrangeZone,
215,Kangra,Himachal Pradesh,OrangeZone,
216,Sirmaur,Himachal Pradesh,OrangeZone,
217,Solan,Himachal Pradesh,OrangeZone,
218,Bilaspur,Himachal Pradesh,GreenZone,
219,Kinnaur,Himachal Pradesh,GreenZone,
220,Kullu,Himachal Pradesh,GreenZone,
221,LahulAndSpiti,Himachal Pradesh,GreenZone,
222,Mandi,Himachal Pradesh,GreenZone,
223,Shimla,Himachal Pradesh,GreenZone,
224,Bandipora,Jammu and Kashmir,RedZone,
225,Shopian,Jammu and Kashmir,RedZone,
226,Anantnag,Jammu and Kashmir,RedZone,
227,Srinagar,Jammu and Kashmir,RedZone,
228,Baramulla,Jammu and Kashmir,OrangeZone,
229,Kupwara,Jammu and Kashmir,OrangeZone,
230,Ganderbal,Jammu and Kashmir,OrangeZone,
231,Jammu,Jammu and Kashmir,OrangeZone,
232,Udhampur,Jammu and Kashmir,OrangeZone,
233,Kulgam,Jammu and Kashmir,OrangeZone,
234,Budgam,Jammu and Kashmir,OrangeZone,
235,Samba,Jammu and Kashmir,OrangeZone,
236,Kathua,Jammu and Kashmir,OrangeZone,
237,Rajouri,Jammu and Kashmir,OrangeZone,
238,Ramban,Jammu and Kashmir,OrangeZone,
239,Reasi,Jammu and Kashmir,OrangeZone,
240,Pulwama,Jammu and Kashmir,GreenZone,
241,Kishtwar,Jammu and Kashmir,GreenZone,
242,Doda,Jammu and Kashmir,GreenZone,
243,Poonch,Jammu and Kashmir,GreenZone,
244,Ranchi,Jharkhand,RedZone,
245,Bokaro,Jharkhand,OrangeZone,
246,Garhwa,Jharkhand,OrangeZone,
247,Dhanbad,Jharkhand,OrangeZone,
248,Deoghar,Jharkhand,OrangeZone,
249,Hazaribagh,Jharkhand,OrangeZone,
250,Simdega,Jharkhand,OrangeZone,
251,Giridih,Jharkhand,OrangeZone,
252,Koderma,Jharkhand,OrangeZone,
253,Jamtara,Jharkhand,OrangeZone,
254,Chatra,Jharkhand,GreenZone,
255,Dumka,Jharkhand,GreenZone,
256,EastSinghbum,Jharkhand,GreenZone,
257,Godda,Jharkhand,GreenZone,
258,Gumla,Jharkhand,GreenZone,
259,Latehar,Jharkhand,GreenZone,
260,Lohardaga,Jharkhand,GreenZone,
261,Pakur,Jharkhand,GreenZone,
262,Palamu,Jharkhand,GreenZone,
263,Sahebganj,Jharkhand,GreenZone,
264,SaraikelaKharsawan,Jharkhand,GreenZone,
265,WestSinghbhum,Jharkhand,GreenZone,
266,Khunti,Jharkhand,GreenZone,
267,Ramgarh,Jharkhand,GreenZone,
268,BengaluruUrban,Karnataka,RedZone,
269,Mysuru,Karnataka,RedZone,
270,BengaluruRural,Karnataka,RedZone,
271,Belagavi,Karnataka,OrangeZone,
272,Vijayapura,Karnataka,OrangeZone,
273,Kalaburagi,Karnataka,OrangeZone,
274,Bagalkote,Karnataka,OrangeZone,
275,Mandya,Karnataka,OrangeZone,
276,Ballari,Karnataka,OrangeZone,
277,Dharwad,Karnataka,OrangeZone,
278,DakshinaKannada,Karnataka,OrangeZone,
279,Bidar,Karnataka,OrangeZone,
280,Chikkaballapura,Karnataka,OrangeZone,
281,Gadag,Karnataka,OrangeZone,
282,UttaraKannada,Karnataka,OrangeZone,
283,Tumakuru,Karnataka,OrangeZone,
284,Davangere,Karnataka,GreenZone,
285,Udupi,Karnataka,GreenZone,
286,Chamarajanagara,Karnataka,GreenZone,
287,Chikkamagaluru,Karnataka,GreenZone,
288,Chitradurga,Karnataka,GreenZone,
289,Hassan,Karnataka,GreenZone,
290,Haveri,Karnataka,GreenZone,
291,Kodagu,Karnataka,GreenZone,
292,Kolar,Karnataka,GreenZone,
293,KoppaI,Karnataka,GreenZone,
294,Raichur,Karnataka,GreenZone,
295,Shivamogga,Karnataka,GreenZone,
296,Ramanagara,Karnataka,GreenZone,
297,Yadgir,Karnataka,GreenZone,
298,Kannur,Kerala,RedZone,
299,Kottayam,Kerala,RedZone,
300,Kasaragod,Kerala,OrangeZone,
301,ldukki,Kerala,OrangeZone,
302,Kozhikode,Kerala,OrangeZone,
303,Kollam,Kerala,OrangeZone,
304,Palakkad,Kerala,OrangeZone,
305,Pathanamthitta,Kerala,OrangeZone,
306,Malappuram,Kerala,OrangeZone,
307,Thiruvananthapuram,Kerala,OrangeZone,
308,Alappuzha,Kerala,OrangeZone,
309,Thrissur,Kerala,OrangeZone,
310,Ernakulam,Kerala,GreenZone,
311,Wayanad,Kerala,GreenZone,
312,Lehladakh,Ladakh,OrangeZone,
313,Kargil,Ladakh,OrangeZone,
314,LakshadweepDistrict,Lakshadweep,GreenZone,
315,Indore,Madhya Pradesh,RedZone,
316,Bhopal,Madhya Pradesh,RedZone,
317,Ujjain,Madhya Pradesh,RedZone,
318,Jabalpur,Madhya Pradesh,RedZone,
319,Dhar,Madhya Pradesh,RedZone,
320,Barwani,Madhya Pradesh,RedZone,
321,EastNimar,Madhya Pradesh,RedZone,
322,Dewas,Madhya Pradesh,RedZone,
323,Gwalior,Madhya Pradesh,RedZone,
324,Khargone,Madhya Pradesh,OrangeZone,
325,Raisen,Madhya Pradesh,OrangeZone,
326,Hoshangabad,Madhya Pradesh,OrangeZone,
327,Ratlam,Madhya Pradesh,OrangeZone,
328,AgarMalwa,Madhya Pradesh,OrangeZone,
329,Mandsaur,Madhya Pradesh,OrangeZone,
330,Sagar,Madhya Pradesh,OrangeZone,
331,Shajapur,Madhya Pradesh,OrangeZone,
332,Chhindwara,Madhya Pradesh,OrangeZone,
333,Alirajpur,Madhya Pradesh,OrangeZone,
334,Tikamgarh,Madhya Pradesh,OrangeZone,
335,Shahdol,Madhya Pradesh,OrangeZone,
336,Sheopur,Madhya Pradesh,OrangeZone,
337,Dindori,Madhya Pradesh,OrangeZone,
338,Burhanpur,Madhya Pradesh,OrangeZone,
339,Harda,Madhya Pradesh,OrangeZone,
340,Betul,Madhya Pradesh,OrangeZone,
341,Vidisha,Madhya Pradesh,OrangeZone,
342,Morena,Madhya Pradesh,OrangeZone,
343,Rewa,Madhya Pradesh,GreenZone,
344,Ashoknagar,Madhya Pradesh,GreenZone,
345,Rajgarh,Madhya Pradesh,GreenZone,
346,Shivpuri,Madhya Pradesh,GreenZone,
347,Anuppur,Madhya Pradesh,GreenZone,
348,Balaghat,Madhya Pradesh,GreenZone,
349,Bhind,Madhya Pradesh,GreenZone,
350,Chhatarpur,Madhya Pradesh,GreenZone,
351,Daoh,Madhya Pradesh,GreenZone,
352,Datia,Madhya Pradesh,GreenZone,
353,Guna,Madhya Pradesh,GreenZone,
354,Jhabua,Madhya Pradesh,GreenZone,
355,Katni,Madhya Pradesh,GreenZone,
356,Mandia,Madhya Pradesh,GreenZone,
357,Narsinghpur,Madhya Pradesh,GreenZone,
358,Neemuch,Madhya Pradesh,GreenZone,
359,Panna,Madhya Pradesh,GreenZone,
360,Satna,Madhya Pradesh,GreenZone,
361,Sehore,Madhya Pradesh,GreenZone,
362,Seoni,Madhya Pradesh,GreenZone,
363,Sidhi,Madhya Pradesh,GreenZone,
364,Umaria,Madhya Pradesh,GreenZone,
365,Singrauli,Madhya Pradesh,GreenZone,
366,Niwari,Madhya Pradesh,GreenZone,
367,Mumbai,Maharashtra,RedZone,
368,Pune,Maharashtra,RedZone,
369,Thane,Maharashtra,RedZone,
370,Nashik,Maharashtra,RedZone,
371,Palghar,Maharashtra,RedZone,
372,Nagpur,Maharashtra,RedZone,
373,Solapur,Maharashtra,RedZone,
374,Yavatmal,Maharashtra,RedZone,
375,Aurangabad,Maharashtra,RedZone,
376,Satara,Maharashtra,RedZone,
377,Dhule,Maharashtra,RedZone,
378,Akola,Maharashtra,RedZone,
379,Jalgaon,Maharashtra,RedZone,
380,MumbaiSuburban,Maharashtra,RedZone,
381,Raigad,Maharashtra,OrangeZone,
382,Ahmednagar,Maharashtra,OrangeZone,
383,Amravati,Maharashtra,OrangeZone,
384,Buldhana,Maharashtra,OrangeZone,
385,Nandurbar,Maharashtra,OrangeZone,
386,Kolhapur,Maharashtra,OrangeZone,
387,Hingoli,Maharashtra,OrangeZone,
388,Ratnagiri,Maharashtra,OrangeZone,
389,Jalna,Maharashtra,OrangeZone,
390,Nanded,Maharashtra,OrangeZone,
391,Chandrapur,Maharashtra,OrangeZone,
392,Parbhani,Maharashtra,OrangeZone,
393,Sangli,Maharashtra,OrangeZone,
394,Latur,Maharashtra,OrangeZone,
395,Bhandara,Maharashtra,OrangeZone,
396,Beed,Maharashtra,OrangeZone,
397,Osmanabad,Maharashtra,GreenZone,
398,Washim,Maharashtra,GreenZone,
399,Sindhudurg,Maharashtra,GreenZone,
400,Gandia,Maharashtra,GreenZone,
401,Gadchiroli,Maharashtra,GreenZone,
402,Wardha,Maharashtra,GreenZone,
403,ImphalWest,Manipur,GreenZone,
404,Thoubal,Manipur,GreenZone,
405,Bishnupur,Manipur,GreenZone,
406,Chandel,Manipur,GreenZone,
407,Churachandpur,Manipur,GreenZone,
408,ImphalEast,Manipur,GreenZone,
409,Senapati,Manipur,GreenZone,
410,Tamenglong,Manipur,GreenZone,
411,Ukhrul,Manipur,GreenZone,
412,Kakching,Manipur,GreenZone,
413,Kangpokpi,Manipur,GreenZone,
414,Jiribam,Manipur,GreenZone,
415,Nonev,Manipur,GreenZone,
416,Pherzawl,Manipur,GreenZone,
417,Tengnoupal,Manipur,GreenZone,
418,Kamjong,Manipur,GreenZone,
419,EastKhasiHills,Meghalaya,OrangeZone,
420,EastGaroHills,Meghalaya,GreenZone,
421,WestJaintiaHills,Meghalaya,GreenZone,
422,RiBhoi,Meghalaya,GreenZone,
423,SouthGaroHills,Meghalaya,GreenZone,
424,WestGaroHills,Meghalaya,GreenZone,
425,WestKhasiHills,Meghalaya,GreenZone,
426,NorthGaroHills,Meghalaya,GreenZone,
427,EastJaintiaHills,Meghalaya,GreenZone,
428,SouthWestKhasiHills,Meghalaya,GreenZone,
429,SouthWestGaroHills,Meghalaya,GreenZone,
430,Aizawl,Mizoram,GreenZone,
431,Champhai,Mizoram,GreenZone,
432,Kolasib,Mizoram,GreenZone,
433,Lawngtlai,Mizoram,GreenZone,
434,Lunglei,Mizoram,GreenZone,
435,Mamit,Mizoram,GreenZone,
436,Saiha,Mizoram,GreenZone,
437,Serchhip,Mizoram,GreenZone,
438,Hnahthial,Mizoram,GreenZone,
439,Saitual,Mizoram,GreenZone,
440,Khawzawl,Mizoram,GreenZone,
441,Dimapur,Nagaiand,GreenZone,
442,Kohima,Nagaland,GreenZone,
443,Mokokchung,Nagaland,GreenZone,
444,Mon,Nagaland,GreenZone,
445,Phek,Nagaland,GreenZone,
446,Tuensang,Nagaland,GreenZone,
447,Wokha,Nagaland,GreenZone,
448,Zunheboto,Nagaland,GreenZone,
449,Peren,Nagaland,GreenZone,
450,Kiphire,Nagaland,GreenZone,
451,Longleng,Nagaland,GreenZone,
452,Jajapur,Odisha,RedZone,
453,Bhadrak,Odisha,RedZone,
454,Baleshwar,Odisha,RedZone,
455,Khordha,Odisha,OrangeZone,
456,Sundargarh,Odisha,OrangeZone,
457,Kendrapara,Odisha,OrangeZone,
458,Koraput,Odisha,OrangeZone,
459,Dhenkanal,Odisha,OrangeZone,
460,Kalahandi,Odisha,OrangeZone,
461,Cuttack,Odisha,GreenZone,
462,Puri,Odisha,GreenZone,
463,Anugul,Odisha,GreenZone,
464,Balangir,Odisha,GreenZone,
465,Bargarh,Odisha,GreenZone,
466,Boudh,Odisha,GreenZone,
467,Deogarh,Odisha,GreenZone,
468,Gajapati,Odisha,GreenZone,
469,Ganjam,Odisha,GreenZone,
470,Jagatsinghapur,Odisha,GreenZone,
471,Jharsuguda,Odisha,GreenZone,
472,Kandhamal,Odisha,GreenZone,
473,Kendujhar,Odisha,GreenZone,
474,Malkangiri,Odisha,GreenZone,
475,Mayurbhanj,Odisha,GreenZone,
476,Nabarangpur,Odisha,GreenZone,
477,Nayagarh,Odisha,GreenZone,
478,Nuapada,Odisha,GreenZone,
479,Rayagada,Odisha,GreenZone,
480,Sambalpur,Odisha,GreenZone,
481,Sonepur,Odisha,GreenZone,
482,Pondicherry,Puducherry,OrangeZone,
483,Karaikal,Puducherry,GreenZone,
484,Mahe,Puducherry,GreenZone,
485,Yanam,Puducherry,GreenZone,
486,Jalandhar,Punjab,RedZone,
487,Patiala,Punjab,RedZone,
488,Ludhiana,Punjab,RedZone,
489,SASNagar,Punjab,OrangeZone,
490,Pathankot,Punjab,OrangeZone,
491,Mansa,Punjab,OrangeZone,
492,TarnTaran,Punjab,OrangeZone,
493,Amritsar,Punjab,OrangeZone,
494,Kapurthala,Punjab,OrangeZone,
495,Hoshiarpur,Punjab,OrangeZone,
496,Faridkot,Punjab,OrangeZone,
497,Sangrur,Punjab,OrangeZone,
498,ShahidBhagatSinghNagar(Nawanshahr),Punjab,OrangeZone,
499,Firozepur,Punjab,OrangeZone,
500,SriMuktsarSahib,Punjab,OrangeZone,
501,Moga,Punjab,OrangeZone,
502,Gurdaspur,Punjab,OrangeZone,
503,Barnala,Punjab,OrangeZone,
504,Rupnagar(Ropar),Punjab,GreenZone,
505,FatehgarhSahib,Punjab,GreenZone,
506,Bathinda,Punjab,GreenZone,
507,Fazilka,Punjab,GreenZone,
508,Jaipur,Rajasthan,RedZone,
509,Jodhpur,Rajasthan,RedZone,
510,Kota,Rajasthan,RedZone,
511,Ajmer,Rajasthan,RedZone,
512,Bharatpur,Rajasthan,RedZone,
513,Nagaur,Rajasthan,RedZone,
514,Banswara,Rajasthan,RedZone,
515,Jhalawar,Rajasthan,RedZone,
516,Tonk,Rajasthan,OrangeZone,
517,Jaisalmer,Rajasthan,OrangeZone,
518,Dausa,Rajasthan,OrangeZone,
519,Jhunjhunu,Rajasthan,OrangeZone,
520,Hanumangarh,Rajasthan,OrangeZone,
521,Bhilwara,Rajasthan,OrangeZone,
522,SawaiMadhaopur,Rajasthan,OrangeZone,
523,Chittorgarh,Rajasthan,OrangeZone,
524,Dungarpur,Rajasthan,OrangeZone,
525,Udaipur,Rajasthan,OrangeZone,
526,Dholpur,Rajasthan,OrangeZone,
527,Sikar,Rajasthan,OrangeZone,
528,Alwar,Rajasthan,OrangeZone,
529,Bikaner,Rajasthan,OrangeZone,
530,Churu,Rajasthan,OrangeZone,
531,Pali,Rajasthan,OrangeZone,
532,Barmer,Rajasthan,OrangeZone,
533,Karauli,Rajasthan,OrangeZone,
534,Rajsamand,Rajasthan,OrangeZone,
535,Baran,Rajasthan,GreenZone,
536,Bundi,Rajasthan,GreenZone,
537,Ganganagar,Rajasthan,GreenZone,
538,Jalore,Rajasthan,GreenZone,
539,Sirohi,Rajasthan,GreenZone,
540,Pratapgarh,Rajasthan,GreenZone,
541,NorthDistrict,Sikkim,GreenZone,
542,EastDistrict,Sikkim,GreenZone,
543,SouthDistrict,Sikkim,GreenZone,
544,WestDistrict,Sikkim,GreenZone,
545,Chennai,Tamil Nadu,RedZone,
546,Madurai,Tamil Nadu,RedZone,
547,Namakkal,Tamil Nadu,RedZone,
548,Thanjavur,Tamil Nadu,RedZone,
549,Chengalpattu,Tamil Nadu,RedZone,
550,Thiruvallur,Tamil Nadu,RedZone,
551,Tiruppur,Tamil Nadu,RedZone,
552,Ranipet,Tamil Nadu,RedZone,
553,Virudhunagar,Tamil Nadu,RedZone,
554,Thiruvarur,Tamil Nadu,RedZone,
555,VeIIore,Tamil Nadu,RedZone,
556,Kanchipuram,Tamil Nadu,RedZone,
557,Theni,Tamil Nadu,OrangeZone,
558,Tenkasi,Tamil Nadu,OrangeZone,
559,Nagapattinam,Tamil Nadu,OrangeZone,
560,Dindigul,Tamil Nadu,OrangeZone,
561,Villupuram,Tamil Nadu,OrangeZone,
562,Coimbatore,Tamil Nadu,OrangeZone,
563,Cuddalore,Tamil Nadu,OrangeZone,
564,Salem,Tamil Nadu,OrangeZone,
565,Karur,Tamil Nadu,OrangeZone,
566,Tuticorin,Tamil Nadu,OrangeZone,
567,Tiruchirappalli,Tamil Nadu,OrangeZone,
568,Tirupathur,Tamil Nadu,OrangeZone,
569,Kanniyakumari,Tamil Nadu,OrangeZone,
570,Tiruvannamalai,Tamil Nadu,OrangeZone,
571,Ramanathapuram,Tamil Nadu,OrangeZone,
572,Tirunelveli,Tamil Nadu,OrangeZone,
573,TheNilgiris,Tamil Nadu,OrangeZone,
574,Sivaganga,Tamil Nadu,OrangeZone,
575,Perambalur,Tamil Nadu,OrangeZone,
576,Kallakurichi,Tamil Nadu,OrangeZone,
577,Ariyalur,Tamil Nadu,OrangeZone,
578,Erode,Tamil Nadu,OrangeZone,
579,Pudukkottai,Tamil Nadu,OrangeZone,
580,Dharmapuri,Tamil Nadu,OrangeZone,
581,Krishnagiri,Tamil Nadu,GreenZone,
582,Hyderabad,Telengana,RedZone,
583,Suryapet,Telengana,RedZone,
584,RangaReddy,Telengana,RedZone,
585,MedchalMalkajgiri,Telengana,RedZone,
586,Vikarabad,Telengana,RedZone,
587,WarangalUrban,Telengana,RedZone,
588,Nizamabad,Telengana,OrangeZone,
589,JogulambaGadwal,Telengana,OrangeZone,
590,Nirmal,Telengana,OrangeZone,
591,Nalgonda,Telengana,OrangeZone,
592,Adilabad,Telengana,OrangeZone,
593,Sangareddy,Telengana,OrangeZone,
594,Kamareddy,Telengana,OrangeZone,
595,KumuramBheemAsifabad,Telengana,OrangeZone,
596,Karimnagar,Telengana,OrangeZone,
597,Khammam,Telengana,OrangeZone,
598,Mahabubnagar,Telengana,OrangeZone,
599,Jagitial,Telengana,OrangeZone,
600,RajannaSircilla,Telengana,OrangeZone,
601,JayashankarBhupalapally,Telengana,OrangeZone,
602,Medak,Telengana,OrangeZone,
603,Jangoan,Telengana,OrangeZone,
604,Narayanpet,Telengana,OrangeZone,
605,Mancherial,Telengana,OrangeZone,
606,Peddapalli,Telengana,GreenZone,
607,Nagarkurnool,Telengana,GreenZone,
608,Mulugu,Telengana,GreenZone,
609,BhadradriKothagudem,Telengana,GreenZone,
610,Mahabubabad,Telengana,GreenZone,
611,Siddipet,Telengana,GreenZone,
612,WarangalRural,Telengana,GreenZone,
613,Wanaparthy,Telengana,GreenZone,
614,YadadriBhuvanagiri,Telengana,GreenZone,
615,NorthTripura,Tripura,OrangeZone,
616,Gomati,Tripura,OrangeZone,
617,Dhalai,Tripura,GreenZone,
